subname_turk,subnum_J,subname_J,age,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiTotal,pdiDichot,beadsDraws,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,dospert,samples,ranks
A2URFYGXXNQR2V,328,iG5WMe0anMnU08uzdY,32,1,1,4,20,3,1,.785714286,.857142857,.142857143,1,9,1,21,95,0,0,0,0,50.5,.5,-.4975,.8825,.685,.3175,4.40875,.35125,0,0,0,3,0,0,75,7.5,4
A2W3KKNN3CAY66,350,n95rDq3UnMngVR5zGc,36,0,1,2,90,5,.75,.428571429,.857142857,.142857143,4,33,6,9,63,-10,-7,-7,-24,57,6.5,-.495,.09625,.535,.37,4.17875,.22625,1,0,0,3,0,0,119,5.33333333333333,5.5
A2WJ1KQW2UBTG6,531,sV514jH8nMnWl7czmA,27,0,1,3,0,1,1,.785714286,.285714286,.714285714,1,18,2,20,65,0,0,7,7,49.5,.5,-.14375,1.16625,.81,.37625,3.33875,.4125,0,0,0,3,0,0,65,4.33333333333333,5.25
A2WTNZHRALOHX8,259,vQ5b1UrCnMnoVMMzat,39,0,1,3,0,4,.5,.714285714,.714285714,.285714286,3,24,3,9,65,-1,0,0,-1,55,0,-.325,1.15375,.90375,.23125,4.51875,.475,0,0,0,3,0,0,109,7.83333333333333,5
A2XRYF0L5ACD2E,801,cI5Fx9GjnMnTQnHzXN,70,1,1,3,0,5,.5,.928571429,.857142857,.142857143,0,0,0,7,74,0,0,0,0,51,.5,-.6625,-.39125,.2375,.35,3.5525,.23125,0,0,0,3,0,0,41,4.83333333333333,6.33333333333333
A2XTK2B7R27RBG,723,Lu5jbw4GnMnARdPzbT,27,0,1,1,5,5,.75,.785714286,.857142857,.142857143,5,52,6,9,87,-1,-2,-1,-4,70,.5,-.37625,.9125,.7925,.2175,4.50125,.39625,2,0,0,3,0,0,80,4.16666666666667,6.58333333333333
A2XUADP5L61HQ5,108,md5Q15XmnMnvg3Gzpa,27,1,1,1,100,4,0,.571428571,.571428571,.428571429,2,30,4,5,52,-1,-1,-1,-3,52,1,-.5875,-.47375,.33125,.22125,4.08875,.23125,1,0,0,3,0,0,70,4.16666666666667,5.83333333333333
A2YVC1U50H2B4R,903,7p5OXKJNnMneQd4zvL,30,0,1,3,10,5,.25,.714285714,.714285714,.285714286,0,6,1,3,51,0,0,0,0,56,.5,-.3725,.55375,.645,.3975,3.8525,.29375,0,1,1,3,0,0,78,5.33333333333333,5.66666666666667
A2ZDEERVRN5AMC,683,SX5M8XTmnMnElEdz3P,27,1,1,1,0,4,.75,.928571429,.571428571,.428571429,3,27,4,6,10,0,0,0,0,50,20,-.4525,.14,.54625,.53875,3.2225,.4375,0,0,0,3,0,0,105,6.33333333333333,6.75
A2ZNOBR1582SW3,306,Q65mHpVPnMnbSKTz8v,19,1,1,1,5,5,.75,.785714286,.285714286,.714285714,3,39,4,4,60,-3,-4,-5,-12,51.5,.5,-.3625,.62125,.5725,.35875,3.35125,.33875,2,0,0,3,0,0,99,4,7.5
A30EI064NHQEQO,930,Go5EGDIqnMnwIUjzmJ,30,0,1,3,100,4,.25,.5,.428571429,.285714286,0,9,1,5,65,-7,-39,-8,-54,61.5,8.5,-.63875,.0575,.37375,.07625,4.15625,.2325,0,0,0,2,0,0,49,6.83333333333333,5.66666666666667
A31898LQJO7I3,53,u85aPuH2nMn8URezhp,26,1,1,3,40,5,1,.714285714,.714285714,.285714286,1,7,1,9,60,0,0,0,0,50,2.5,-.96875,-.755,.11,.23,4.1275,.10875,0,0,0,3,0,0,79,5.83333333333333,6.41666666666667
A32Q6D88MKI52B,828,sS5edAF0nMnr4kXznQ,22,1,1,1,20,5,.75,.428571429,.571428571,.428571429,2,18,2,8,50,0,-5,0,-5,50,0,-.38,1.4,.95375,.1625,4.77375,.475,0,1,1,3,0,0,118,6.33333333333333,5.91666666666667
A32V5DY9IYAM4R,563,0P5R7L8AnMnUa9DzLw,39,0,1,3,100,4,.5,.714285714,.285714286,.714285714,1,20,2,8,59,-1,-5,0,-6,49.5,.5,-.55875,1.08125,.71125,-.00625,4.5025,.46,1,0,0,3,0,0,86,5.66666666666667,5.75
A332S5HG3XL6TE,754,Ux5loaxnnMnx9SIz3l,41,0,1,3,45,4,1,.714285714,.714285714,.285714286,2,18,2,13,64,-1,-2,-1,-4,57,.5,-.5425,.465,.6025,.1,4.7075,.31125,0,0,0,3,0,0,70,6.83333333333333,6.16666666666667
A336V7IY38Q2WN,360,ej5i9iPPnMnvxBEzBc,33,1,1,3,0,3,1,1,1,0,4,40,4,8,80,-10,-14,0,-24,74,3.5,-.76375,-.19,.3925,.19375,4.4925,.29,2,0,0,2,0,0,141,6,5.5
A33JJY3A6V90QM,182,vC5yYGlunMnfqffzm8,35,0,1,1,100,1,.5,.5,.428571429,.571428571,1,7,1,9,100,0,0,0,0,50,0,-.475,.05875,.3825,.2625,3.45375,.31375,0,0,0,3,0,0,59,3.16666666666667,6.33333333333333
A33Z6BHAJUGCHY,298,AT5Eot4vnMnbksyzUD,24,1,1,3,5,4,.75,.571428571,.857142857,.142857143,0,0,0,6,50,-18,0,0,-18,58,.5,-.5625,.96125,.855,.0825,4.95625,.52125,0,0,0,3,0,0,72,5.66666666666667,6.41666666666667
A347XXV5JH19PB,252,w85FnetfnMnx9IxzyM,40,0,1,1,50,3,.75,.571428571,.714285714,.285714286,1,8,1,9,75,0,0,0,0,49.5,.5,-.35,.50125,.65125,.39125,3.98125,.27375,0,1,0,3,0,0,70,6.66666666666667,4.66666666666667
A34LSCB90T5KYE,170,Cu5va5HInMnpJYGzJp,45,0,1,3,60,4,.5,.714285714,.142857143,.857142857,5,75,7,8,71,-6,-4,-4,-14,54.5,4.5,-.0425,2.07,1.2675,.1575,5.01625,.49875,0,0,0,3,0,0,74,4.5,4.91666666666667
A351LMMMFYPM7U,111,DX5Ar6yNnMncESazTO,71,1,1,4,0,5,1,.928571429,.428571429,.571428571,3,20,3,10,65,-2,-3,-4,-9,53.5,.5,-.6175,-.4825,.2825,.3825,3.3925,.2725,0,0,0,3,0,0,66,6.16666666666667,5.16666666666667
A3542PB4Z0NE80,605,du5CwtmknMnov4KzYK,36,1,1,2,15,4,.75,.857142857,.857142857,0,5,58,6,9,69,-5,0,0,-5,52,1,0,1.6525,1.0325,.37125,3.46875,.465,0,0,0,3,0,0,113,5.33333333333333,6.33333333333333
A35C0II2FFV18S,462,fm5dBWyXnMnB09DzYo,40,0,1,3,1,4,.75,.928571429,.714285714,.285714286,1,18,2,9,75,0,0,0,0,50,1,-.5825,.22875,.60625,.24875,4.2175,.415,0,0,0,3,0,0,92,5.16666666666667,6.66666666666667
A35ZVO654GOBP5,897,FI5TX3eInMngeHyzAk,42,0,1,1,100,5,.25,.571428571,0,1,0,11,1,2,63,-3,4,-1,0,49,30,-.33,1.0875,.88625,.1575,4.58,.44125,1,0,0,3,0,0,61,5.83333333333333,4
A3696JXTRKL2FI,682,pq5xF8C2nMnetMjzGB,28,1,1,3,0,5,.75,.785714286,.857142857,.142857143,0,0,0,11,67,-1,-4,0,-5,53.5,0,-.465,.75875,.68875,.30625,4.14375,.39625,0,0,0,3,0,0,84,3.16666666666667,7
A37FQI6S9XARBT,324,UK5ysVU1nMnr2mVz3I,36,0,1,3,100,1,0,.428571429,.571428571,.285714286,1,10,1,1,76,0,68,81,149,75.5,23,-.5375,.71375,.62375,.21375,4.6325,.35625,4,3,1,3,0,0,93,4.16666666666667,6.41666666666667
A37GUFW4K6A1C8,662,wS5dOD6InMnlBYRzeW,26,0,1,2,98,5,.25,.5,.428571429,.571428571,0,0,0,12,75,0,0,0,0,49,1,-.76,-.5475,.18125,.2875,3.6075,.08875,0,0,1,3,0,0,145,6.83333333333333,6.33333333333333
A37MPHPHMGWFQB,189,Hi5MGbmAnMnr5g1zEI,38,0,1,4,50,4,1,.785714286,.714285714,.285714286,13,112,11,21,84,-6,-4,-4,-14,55.5,.5,-.21,1.14,.8375,.35,3.655,.4475,0,0,0,3,0,0,104,6.83333333333333,5
A38QGJJOZANQ4B,277,IJ593JMBnMno8vFz7M,35,1,1,2,0,4,1,.5,.285714286,.714285714,3,26,3,8,75,0,0,2,2,50.5,12.5,-.4025,1.44375,.89625,.355,4.13875,.52375,0,1,0,3,0,0,119,2,6.83333333333333
A38RANAPIANAAA,326,mK5JUgHAnMn1OP7zNN,22,1,1,3,90,4,1,.5,.571428571,.428571429,7,88,8,11,60,-5,0,0,-5,65,15,-.49375,.22875,.48875,.22875,4.4675,.25,1,0,0,3,0,0,91,4.83333333333333,5.08333333333333
A39FJ7RWX4B9JZ,641,y35bGpKCnMn5iu5zy0,43,0,1,2,0,3,.5,.857142857,.285714286,.428571429,0,0,0,11,60,0,-1,0,-1,50,1,-.50125,.44,.54375,.25,3.7575,.2925,0,0,0,3,0,0,72,7.83333333333333,5.25
A39ROW50DWRRKT,533,Y55VP9X5nMnRxSKzCB,35,1,1,2,0,5,0,.714285714,0,.571428571,0,0,0,4,85,-24,8,-29,-45,63,30.5,-.6475,.08125,.44,.305,4.20625,.23375,0,0,0,3,0,0,76,7,4.08333333333333
A3A82EHCZOQ2CV,488,fA5x3SDLnMnMXoLz2V,25,1,1,3,100,1,0,.142857143,.428571429,.571428571,1,22,2,8,98,0,0,0,0,38,13,-.24625,.6075,.77125,.3325,3.09625,.47375,0,0,0,3,0,0,140,2,5.83333333333333
A3B9OZQTE4US3T,278,9R5Y7gKGnMnnympzyC,40,1,1,3,0,3,0,.714285714,.428571429,.285714286,0,0,0,3,20,-6,-5,-4,-15,68,18,-.57,.3875,.6175,.2325,4.16625,.38625,1,1,0,2,0,0,67,4.5,6.5
A3BTV0RLP0LTO8,361,kC5yfJI9nMnYumhzOP,45,0,1,3,100,4,.75,.642857143,.571428571,.428571429,0,42,4,14,88,0,0,0,0,50,1,-.705,-.45,.2575,.28625,3.4675,.23375,1,0,0,3,0,0,67,6.66666666666667,5.33333333333333
A3BUDBPUB2XP1Z,738,sU5ySVc9nMnmniXz7N,29,1,1,1,10,5,.75,.714285714,1,0,4,61,6,11,92,0,0,0,0,70,12.5,-.29125,1.22,.98375,.2175,4.61875,.42375,0,0,0,3,0,0,118,4.33333333333333,6.5
A3D2U4QF7821ZW,905,fp5VkadJnMnSfCHzF0,25,0,1,3,5,5,1,.642857143,.857142857,.142857143,3,35,4,11,82,-7,-6,-6,-19,58,0,-.41875,.685,.72875,.2825,4.46,.3025,0,0,0,3,0,0,81,5.83333333333333,6.08333333333333
A3D6ZYZ7D857AM,376,bE5C5WJOnMnhst7zS8,32,1,1,2,100,4,1,.857142857,.857142857,.142857143,0,32,4,13,81,0,0,0,0,50.5,25.5,-.6525,-.5575,.16125,.4525,3.275,.1525,0,0,0,3,0,0,80,5.66666666666667,6.5
A3DHV1UZ8VQI41,169,lL56vvhtnMnMw7xzUa,18,1,1,1,1,4,.75,.571428571,1,0,0,12,2,9,99,8,0,12,20,53.5,13.5,-.51875,.0075,.39625,.44,3.20375,.2575,0,0,0,3,0,0,110,4.66666666666667,6.83333333333333
A3DKYNYN50FYFY,89,i55TwqwLnMnksbuzge,25,1,1,3,100,5,1,1,1,0,4,71,7,8,55,-2,-2,-1,-5,53.5,.5,-.4875,.22625,.4925,.18375,4.1925,.23875,0,0,0,3,0,0,146,4.66666666666667,6.16666666666667
A3EHDY67QENKPT,88,1f5t2OCLnMnu5ajzMq,54,0,1,1,100,3,.75,.428571429,.285714286,.714285714,2,31,3,7,75,-3,1,1,-1,48.5,5,-.57875,-.45375,.24,.45375,3.44375,.12875,1,0,0,3,0,0,92,5.33333333333333,6
A3EUGO4VR2N4G1,467,p15ycf0UnMn9SRPznr,30,1,1,3,0,5,1,.642857143,.714285714,.285714286,0,5,1,7,57,-5,-3,-2,-10,58,.5,-.425,.28375,.445,.35,2.9975,.2225,0,0,0,3,0,0,114,6.16666666666667,6.5
A3GAQNTZ1V1VO,725,5f5pGc1NnMn8ujozfu,28,1,1,4,30,4,1,.928571429,.857142857,.142857143,0,0,0,17,62,0,0,1,1,51,.5,-.23125,.02125,.38125,.57875,2.59875,.17125,1,0,0,3,0,0,70,4.33333333333333,7.16666666666667
A3GVUYY3TWRPZT,362,lh5s3tjRnMnUEoYz11,39,0,1,3,10,4,.75,.857142857,.714285714,.142857143,5,71,8,8,75,-10,-10,-5,-25,50,0,-.11125,1.5025,1.01,.22375,3.97625,.4775,0,0,0,3,0,0,86,7.33333333333333,3.41666666666667
A3HC7AQFCYT5GJ,51,gw5JltetnMnIy2jzJC,42,0,1,2,0,5,.75,.714285714,.714285714,.285714286,2,35,3,12,65,5,-3,4,6,52.5,2.5,-.77375,-.065,.47125,.17375,4.56,.415,0,0,0,3,0,0,112,7.33333333333333,4.83333333333333
A3HCGNV93TJO7R,154,Wg5aCtUEnMnI4A7z9e,31,0,1,2,100,5,1,.571428571,.857142857,.142857143,3,27,3,18,64,-2,0,0,-2,54,1,-.3025,.81125,.755,.37875,3.81625,.34625,0,1,0,3,0,0,59,4.83333333333333,6.33333333333333
A3HFFCEJ22YZFV,471,Ni5XDNAYnMnlrR4zXX,36,0,1,1,100,5,.5,.571428571,.571428571,.285714286,0,0,0,1,50,0,23,0,23,40,3.5,-.2325,.99375,.94375,.28625,4.665,.3,0,0,1,3,0,0,72,6.33333333333333,6.83333333333333
A3I40B0FATY8VH,30,AR5Cde4QnMnLPHuz05,25,1,1,1,0,5,1,.571428571,1,0,1,9,1,13,88,-5,-6,-5,-16,62,.5,-.41875,1.33625,.9925,.255,4.76,.47875,0,0,0,3,0,0,70,4.5,6.83333333333333
A3IGZ3N6TNPXUU,575,DO5mxrN4nMn6TEBzKY,30,0,1,1,50,4,.5,.785714286,1,0,0,14,1,7,72,-21,0,0,-21,79,3,-.31375,1.18875,.9375,.15,4.46,.49875,0,0,0,3,0,0,80,3.66666666666667,4.75
A3IO4P2AU6NA18,352,IO548YUFnMnntX4zNJ,54,1,1,3,67,4,.75,.928571429,.714285714,.285714286,2,20,3,30,55,0,0,0,0,51.5,0,-.12375,.865,.67,.4425,3.28375,.23375,0,0,0,3,0,0,122,5.5,4.83333333333333
A3JGVZEXXELM3C,15,cv59b6TgnMnAJbyzUB,32,1,1,1,100,5,.75,.642857143,.142857143,.857142857,5,37,7,12,92,0,0,0,0,80,30,-.7,.50875,.50125,.07625,4.37625,.4025,0,0,0,3,0,0,90,8,4.5
A3JKYTCUACTDZA,960,xc5l5iTRnMn7X4vzJj,22,0,1,2,15,5,.75,.571428571,.428571429,.571428571,6,46,6,9,100,0,0,0,0,63.5,0,-.72125,-.23,.43,.00125,4.53625,.23625,0,0,0,3,0,0,62,6.66666666666667,6.08333333333333
A3K5XBS0CW8XMY,388,pE5cNbqHnMntmkLzmJ,30,0,1,4,50,4,.5,.785714286,.285714286,.714285714,4,60,6,11,92,0,1,0,1,51,6.5,-.13375,1.58125,1.0575,.31125,4.33375,.4575,0,1,0,3,0,0,86,7,6
A3KAW0XBBXOQQY,859,V15tv2N2nMn18U1zhJ,44,0,1,4,100,4,.75,.571428571,.285714286,.714285714,5,48,5,12,100,0,0,0,0,56.5,.5,-.3525,1.355,.89625,.225,4.38625,.4575,0,3,0,3,0,0,64,6.33333333333333,6.75
A3KC26Z78FBOJT,407,Jp5HtVEVnMniNHGzuF,30,1,1,2,0,5,1,.571428571,.714285714,.142857143,3,38,4,13,70,-5,-5,-5,-15,52.5,0,-.56,.6775,.585,.39125,4.1375,.43875,0,0,0,3,0,0,102,4.83333333333333,7.16666666666667
A3KC385CZNYEG5,505,SB5lVr8qnMnYQS4ztp,40,0,1,3,0,5,1,1,.571428571,.428571429,4,39,3,5,74,0,0,0,0,51,1,-.10875,1.2025,.85625,.37,3.2025,.43875,0,0,0,3,0,0,77,4.83333333333333,5.91666666666667
A3KKXA7COL5JHL,1,si5lotgYnMnlhdozTx,40,1,1,2,0,5,0,.785714286,.857142857,.142857143,0,0,0,12,66,0,0,0,0,50,1,-.07,1.26375,.87625,.265,2.935,.44,0,3,0,3,0,0,78,5.66666666666667,7
A3LNM77PCQOTHJ,227,lA5FY1rynMnpnFezDa,34,1,1,1,5,4,.75,.5,.714285714,.142857143,2,33,3,14,56,-2,-1,-1,-4,51,0,-.055,1.74875,.97,.15,3.1625,.495,1,0,0,3,0,0,152,4.33333333333333,6.91666666666667
A3MCGKRH5KEZR8,340,E55pMR9unMnqqC3zP2,22,1,1,1,0,4,1,.642857143,.571428571,.285714286,0,0,0,8,100,0,0,0,0,65,0,-.59375,.34625,.65,.185,4.545,.4375,2,1,0,3,0,0,118,2.66666666666667,5.08333333333333
A3MYPYBVHX7FQ2,276,2h50YYiwnMnC4dlzes,48,1,1,2,100,5,1,.785714286,.571428571,.428571429,12,150,16,11,0,0,0,0,0,50.5,.5,-.3275,.5475,.57,.41,3.42625,.31375,0,0,0,3,0,0,137,5.33333333333333,7.16666666666667
A3N5RLYH05PY8L,384,6A5wjwtNnMnsERxzmB,44,0,1,1,100,5,.75,.428571429,.857142857,0,0,10,1,12,90,0,0,0,0,68,12.5,-.94625,-.225,.405,.12375,4.965,.39875,0,0,0,3,0,0,61,6.16666666666667,5.75
A3N6SBFK109S07,833,hd5Fh3NCnMnU3BOz0O,42,1,1,3,0,1,1,.785714286,.428571429,.571428571,2,23,3,9,90,0,0,0,0,59,.5,-.18375,1.32125,.91625,.18375,3.9,.3975,0,3,0,3,0,0,107,6.5,5.91666666666667
A3NLJS5TGM8ZST,762,GW5QoDNJnMn2ohCzuT,56,0,1,1,100,3,.25,.714285714,.571428571,.285714286,0,10,1,9,100,0,0,0,0,50,0,-.08375,1.03875,1.015,.41375,4.09625,.2825,0,1,0,3,0,0,80,6.16666666666667,6.83333333333333
A3ORD55TVUBUGT,889,XA5rWNn0nMnDevAznT,25,1,1,1,0,4,.5,.928571429,.428571429,.428571429,2,18,2,10,75,0,0,0,0,50,1,-.69375,.16,.46,.155,4.31,.31625,0,0,1,3,0,0,115,7,4.41666666666667
A3OV174HQJIJK8,663,hV5ctMPvnMnWCiKzOv,45,1,1,2,100,5,.75,1,1,0,2,28,3,14,100,0,-5,0,-5,57.5,0,-.49625,.68125,.81375,.1775,4.3525,.44,1,1,0,3,0,0,52,6.83333333333333,6
A3Q4GKR9DVIOHM,482,SN5CMA2DnMnRLkEzt2,23,1,1,3,90,5,.75,.857142857,.571428571,.428571429,4,66,9,12,70,0,0,0,0,50.5,.5,-.14,1.2325,.9425,.35625,3.83,.43875,0,0,0,3,0,0,116,4.5,6.66666666666667
A3R5OJR60C6004,161,6o5PprHcnMnYecQzpQ,45,1,1,3,90,1,.5,.928571429,.285714286,.571428571,1,4,1,9,64,0,0,0,0,54,8,-.3325,.7,.77,.33125,4.11375,.36,0,0,0,3,0,0,68,5.33333333333333,6.66666666666667
A3RLCGRXA34GC0,428,Qg5k519fnMndTwyzCU,49,1,1,3,99,5,.75,.857142857,1,0,2,26,4,5,38,0,0,0,0,50.5,.5,-.39875,1.21625,.85375,.24125,4.36125,.48,2,0,0,3,0,0,109,7.33333333333333,3.58333333333333
A3SL5QRF7MX2P1,882,un59L8TrnMniW4rzE5,39,0,1,4,5,5,1,.642857143,.571428571,.428571429,0,0,0,9,83,-12,-16,-7,-35,62,.5,-.60125,-.05625,.42,.3625,3.93625,.33375,0,0,0,2,0,0,69,6.5,5.91666666666667
A3T021IZ1409ZH,558,2j5556JhnMn8r7Bzty,37,1,1,3,37,5,1,.785714286,.857142857,0,8,72,9,11,92,0,0,2,2,52,.5,-.63,.16875,.525,.18625,4.46125,.33375,0,0,0,3,0,0,125,6,5.83333333333333
A3UD7T9F3EMLM2,758,3F5yHVW2nMnxRC2zUL,30,0,1,1,90,3,.25,.5,.142857143,.857142857,2,27,3,8,83,0,0,0,0,75.5,25.5,-.65,-.24125,.37,.205,4.45375,.20625,6,1,0,3,0,0,60,7.16666666666667,4.25
A3UF6XXFFRR237,127,Is5xa1XynMnO1jFzkD,32,0,1,2,50,4,.75,.642857143,.571428571,.428571429,2,16,2,3,13,0,34,0,34,33,17,-.03625,1.05625,.86375,.4325,3.26,.34,0,0,0,3,0,0,119,6,5.16666666666667
A3UPZ88FI1EJC,71,eB5A5gcpnMnfX8BzFW,30,0,1,2,85,5,0,.714285714,.428571429,.428571429,2,16,2,11,56,-4,-3,-3,-10,53,1,-.5775,.47,.52125,.195,4.24125,.3625,0,0,0,3,0,0,56,6.83333333333333,6.66666666666667
A3UZW1NTOX6I15,45,cL5BQiSQnMnbjdNz8H,28,1,1,3,90,3,.25,.571428571,.428571429,.571428571,2,28,2,8,60,0,0,0,0,50,10,-.71,-.75875,.1475,.3925,3.2875,.1475,1,0,2,3,0,0,70,6.83333333333333,5.83333333333333
A3VDG4N48AVYGQ,737,Hl5RC7IAnMnvLYEzDJ,33,1,1,3,1,4,1,.857142857,.285714286,.571428571,1,8,1,9,86,0,0,0,0,73,10,-.51375,.59,.60375,.25,4.175,.40125,0,0,0,3,0,0,84,6.5,5.75
