subname_turk,subnum_J,subname_J,age,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiTotal,pdiDichot,beadsDraws,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,dospert,samples,ranks
A3VENK02U0X16N,457,B25MpsmsnMnxjO3zv7,31,0,1,4,5,5,1,.928571429,.857142857,.142857143,4,27,5,8,76,-7,0,-3,-10,58,5.5,-.3325,.86375,.77,.3525,3.99,.41625,0,0,0,3,0,0,64,6.16666666666667,6.83333333333333
A3VL1CBZ3BGQK7,994,Jw5MOH2xnMnEcyczOE,55,1,1,3,98,5,.75,.642857143,.714285714,.285714286,2,20,2,8,88,0,13,28,41,51,1,-.22,.10125,.49375,.385,3.57125,.18125,0,0,0,3,0,0,82,6.33333333333333,5.25
A4CHLWPHZIP7Y,7,sU50gs9TnMnLsgxzpE,39,0,1,3,40,5,1,.857142857,.857142857,.142857143,3,22,2,12,75,-5,0,0,-5,51,.5,-.45,1.14,.8675,.22125,4.7225,.45,0,0,0,3,0,0,71,6,4.83333333333333
A4IH4CO046EV3,532,BB5dY12QnMnD9t3zLy,39,1,1,2,0,5,1,1,1,0,0,0,0,13,100,0,0,0,0,57,0,-.355,.91625,.74875,.3675,3.89875,.44875,0,0,0,3,0,0,117,4.16666666666667,6.5
A4UIXESOEZI05,73,cf5ppwnjnMnr4u0zYe,28,0,1,3,1,5,1,.785714286,1,0,0,0,0,12,81,-4,0,0,-4,54,0,-.5125,.29375,.48625,.44375,3.5475,.29125,0,0,0,3,0,0,62,7.33333333333333,4.58333333333333
A5J0OW727ZCWY,567,965N3tybnMnWcNyzTh,47,0,1,2,100,5,0,.642857143,.571428571,.428571429,2,34,4,3,15,-11,8,-8,-11,58,18,-.54375,.1925,.47875,.35,3.7525,.2675,0,0,0,3,0,0,78,6.16666666666667,5.16666666666667
A70TBKPGWQZO4,184,0w5lQX3gnMnrOD3zE2,29,1,1,1,5,5,.75,1,.857142857,.142857143,8,141,12,12,100,-2,-5,-3,-10,60,.5,-.185,.675,.71625,.4075,3.48,.33125,0,3,0,3,0,0,96,3.16666666666667,6.66666666666667
A7P3R1AIA4TVV,411,Ca5L1VRNnMnn8lXz1C,34,1,1,1,0,3,.5,.714285714,.428571429,.428571429,0,4,1,9,90,0,0,0,0,50,0,-.01,1.30875,.9275,.36125,3.2475,.40625,1,3,0,3,0,0,98,2.83333333333333,6
A7XOIQCYY2YCO,345,BD5dpcgknMntH0OzIK,60,0,1,3,100,4,1,.642857143,.714285714,.285714286,0,23,2,14,80,0,-12,0,-12,50,0,-.23125,1.02125,.77125,.16375,3.65625,.35375,0,0,0,3,0,0,56,4.83333333333333,6.66666666666667
A82Q1HS5CPZ5I,639,Ei5LUj5lnMng02AzGn,27,1,1,2,50,4,.5,.357142857,0,1,4,35,4,14,100,-9,-10,0,-19,71,.5,-.5075,-.31875,.42125,.36875,3.44125,.2925,0,0,0,3,0,0,62,7.66666666666667,4.25
A8E99XNOTT390,676,RF54m7VknMnjWf8zhA,42,0,1,3,15,4,1,.642857143,.714285714,.285714286,2,18,2,9,87,-4,-8,-4,-16,60.5,1,-.60625,-.65,.23125,.38875,3.58,.125,0,0,0,3,0,0,117,4.83333333333333,6.58333333333333
A9IC7BMHIPTYH,373,qP5Pt5lmnMn3AQXzWw,43,0,1,3,50,5,1,.928571429,.571428571,.428571429,3,27,3,11,65,-2,-2,0,-4,50,1,-.38,.7075,.7875,.335,4.2275,.3725,1,0,0,3,0,0,73,2,6.33333333333333
AA8PZKO9XGCKO,910,tx5reYnXnMnitdIzCs,26,0,1,1,30,5,1,1,1,0,12,89,8,22,79,-2,-2,0,-4,54.5,.5,-.2675,1.185,.935,.27625,4.4675,.39375,0,0,0,3,0,0,100,5,6.16666666666667
AADADWJIFVSB1,527,2R5tlClknMnRukdzBb,57,0,1,2,100,1,0,.214285714,.285714286,.428571429,3,58,5,11,86,-1,5,0,4,50.5,0,-.4,.33125,.6175,.4275,3.46625,.37,1,1,0,2,0,0,83,4.66666666666667,6.66666666666667
AAHZCL4LIPCBQ,928,Q75n1EtRnMnJuoUzSL,33,0,1,2,100,5,.25,.285714286,0,.714285714,0,12,1,1,50,0,23,50,73,50.5,23.5,-.33,.43,.87875,.22875,3.5375,.295,1,3,0,2,0,0,60,8,4.5
AAJ1ZQECDZBEE,893,fF5sgXfXnMnXrUxzVv,43,1,1,4,100,4,1,.857142857,1,0,0,14,2,5,74,0,0,0,0,75.5,25.5,-.6525,.45125,.52875,.225,4.51,.35625,0,0,1,3,0,0,81,5.5,6.16666666666667
ABSK9TAZ0NNRD,107,NW5J1j4jnMni5OGzEj,27,1,1,1,25,3,.75,.642857143,.428571429,.428571429,3,48,4,9,65,0,0,0,0,37,13,-.43125,1.8775,1.18125,.12625,4.86875,.79125,2,0,0,3,0,0,120,6.83333333333333,4.41666666666667
ACCXC5V05C9R9,969,T25rGQCBnMnh1UAzvs,46,0,1,2,0,4,1,.928571429,.857142857,.142857143,1,6,1,8,55,0,0,0,0,49.5,.5,-.47875,-.3425,.2125,.5075,2.88625,.1875,0,1,0,3,0,0,84,6.33333333333333,6.16666666666667
ACXPNVY0QDNHR,992,4U5qlvOtnMnek9yzwD,34,1,1,1,0,5,.75,.928571429,.714285714,.285714286,0,0,0,13,100,-5,0,0,-5,49.5,0,-.43875,.58625,.655,.30125,4.12125,.3575,0,0,0,3,0,0,66,5.33333333333333,7.33333333333333
AD21ES5UMD77U,286,W35GJJeSnMndufAzfu,64,1,1,2,100,5,.75,1,.857142857,.142857143,2,39,4,6,48,13,-8,0,5,50.5,.5,-.475,.18875,.525,.3175,3.91,.25125,0,0,0,3,0,0,89,4.33333333333333,5.83333333333333
AEF74ZYJTTEIA,188,No5RSltenMnJgMUz2T,40,1,1,3,100,5,1,.785714286,1,0,0,0,0,9,77,-5,-8,-7,-20,53,.5,-.28375,.89375,.7425,.09875,4.15875,.225,0,2,0,3,0,0,90,4,5.83333333333333
AFWJT2RB6Y4SZ,592,kM52Yqp2nMnasBTz1n,37,0,1,2,0,5,.5,.714285714,.571428571,.142857143,1,11,1,12,74,0,0,0,0,49.5,.5,-.245,1.845,1.2325,.12375,5.1025,.585,0,1,0,3,0,0,108,8,5.66666666666667
AG3ISFZMFGDQ9,187,KC5dHnA7nMnCWxdzLx,31,1,0,1,0,5,.25,.5,.142857143,.857142857,3,27,3,13,85,-8,0,0,-8,50.5,.5,-.3175,.8125,.73125,.36,3.6425,.3575,0,0,0,3,0,0,71,5.5,6.66666666666667
AHV7RV2IEOSBP,984,Hx5eTDBfnMnwGRpzDE,33,0,1,3,0,4,1,.857142857,.428571429,.571428571,6,46,7,10,59,0,0,0,0,51.5,0,-.21125,1.2875,.9325,.305,3.955,.49625,0,0,0,3,0,0,76,3.83333333333333,7.16666666666667
AJM4334V07JDQ,896,GR5G2sMQnMnF4H0zQ0,40,1,1,2,100,4,.25,.5,.714285714,.142857143,3,46,4,6,51,-6,0,-7,-13,69.5,16,-.42875,.7175,.78,.37875,4.20875,.43625,0,1,0,3,0,0,119,5.33333333333333,6.83333333333333
AJQGWGESKQT4Y,627,oN5YB33XnMnXjYTzGJ,42,1,1,3,1,4,1,.857142857,.571428571,.285714286,6,55,7,13,83,0,0,-1,-1,54.5,.5,-.005,1.69875,1.05375,.28,3.7,.43625,0,0,0,3,0,0,99,6.83333333333333,6.25
AK7FDS2KRJZLA,364,vL5SjXBwnMnHLdGzLa,42,1,1,3,100,1,.25,.142857143,.428571429,.428571429,0,0,0,12,81,-9,-5,-6,-20,58.5,14.5,-.06375,1.48875,.79875,.045,2.6525,.36875,1,0,0,2,0,0,111,6.5,5.5
AK8ONB60Q4RJ5,513,ni5FllGgnMnA5o4zPa,37,1,1,1,100,4,.5,.428571429,.142857143,.857142857,6,82,8,5,54,11,-2,-3,6,58.5,10,-.355,.68,.59875,.26875,3.66375,.32875,1,0,0,3,0,0,103,4.5,7
AKJ22H1NTVIQX,701,iX5jr6VBnMniip3zvF,55,1,1,1,0,4,0,.857142857,.285714286,.714285714,0,0,0,7,64,0,0,0,0,68.5,18.5,-.12125,1.245,.97625,.19375,4.02375,.40625,0,0,2,2,0,0,59,6.83333333333333,4.5
ALDKDKRBR4LXD,581,iO5lUrtenMnVay5zI5,40,1,1,2,100,4,0,.571428571,.571428571,.285714286,8,119,11,1,85,0,0,0,0,49,36,-.3925,1.11375,.8375,.2025,3.94625,.5,0,0,1,2,0,0,69,6.83333333333333,5.66666666666667
ALUKD738FTTZW,847,Og56iYXpnMnmUlrzb7,43,1,1,3,90,5,.75,.357142857,.857142857,.142857143,3,36,5,14,80,0,0,0,0,50.5,.5,-.35125,.45375,.5475,.43125,3.00375,.25375,0,0,0,3,0,0,85,8,4.58333333333333
AMX5R6NLYNA2K,105,nP5XJQM8nMnGgYPzhB,28,1,1,3,55,5,.25,.714285714,.857142857,0,3,40,4,3,20,-5,0,-5,-10,57.5,5.5,-.56125,.31375,.54375,.3475,3.83625,.395,0,0,0,3,0,0,92,7.33333333333333,5.75
AN098C29EGJ6,58,m95eUt3hnMnrsDWzvq,28,0,1,3,50,5,1,1,.857142857,.142857143,0,0,0,13,76,0,-1,0,-1,49.5,.5,-.2775,1.0475,.815,.325,3.77375,.41875,0,0,0,3,0,0,100,7.83333333333333,4.91666666666667
ANBWJZYU2A68T,636,I25DX14OnMnhkSvzEq,45,1,0,5,40,4,1,.571428571,.857142857,.142857143,0,10,1,9,67,0,0,-11,-11,49.5,.5,-.66375,.2825,.71625,.175,4.19125,.58875,0,0,0,3,0,0,63,4.83333333333333,6.75
ANEM435BSW3XU,372,8A5YMVASnMnOgArzOb,25,0,1,3,100,5,.25,.642857143,.571428571,.285714286,8,130,11,1,68,-25,-10,-3,-38,63.5,17,-.05125,1.1625,1.00875,.32125,4.08625,.33375,1,1,1,3,0,0,83,4.83333333333333,6.5
ANWY0TG55MWW9,808,cX5VfTPMnMnxcemzRI,48,1,0,3,100,1,.75,.785714286,.571428571,.285714286,0,0,0,13,60,0,0,0,0,54.5,5.5,-.00125,1.8025,1.0775,.32875,3.91,.4575,0,1,0,2,0,0,84,6.33333333333333,5.75
AOAZMLP27GD81,48,dI5MmwOgnMnc8BxzqG,38,1,1,1,5,5,.75,1,1,0,1,21,2,8,60,-5,-3,-3,-11,55,.5,-.515,.565,.63125,.19125,4.3975,.355,0,0,0,3,0,0,63,5,6.66666666666667
AOHYIMYZSV858,781,7O5WIxTFnMnKUIrzNs,64,0,1,4,100,5,1,.928571429,.857142857,.142857143,2,44,5,13,95,-2,-8,-13,-23,51,0,-.4375,.5025,.5675,.3675,3.78375,.35625,0,1,0,3,0,0,80,5.66666666666667,6.75
AOOGCOBAZBWJ2,899,qX5i1rM6nMnBBbWz2N,68,1,1,3,100,4,.5,.714285714,.285714286,.714285714,1,16,1,1,72,-27,-24,-25,-76,73.5,.5,-.7425,-.63375,.16,.34625,3.2725,.15125,0,0,0,3,0,0,41,6.83333333333333,5.83333333333333
AORHBSAJE0GP4,453,ca5B1umOnMn6kGLz3P,27,0,1,4,0,5,.5,.928571429,.571428571,.428571429,2,21,3,9,79,0,0,0,0,50,0,-.45875,1.10375,.76875,.2125,4.11625,.51875,0,0,0,3,0,0,107,7.83333333333333,6.33333333333333
APDDA1Y59RHV9,656,vg5Kt2NOnMnau9Hzeq,55,0,1,2,100,4,.5,.571428571,.571428571,.285714286,1,17,2,10,89,-15,-2,1,-16,45.5,17.5,-.745,-.29375,.3825,.25375,4.3375,.33625,0,0,0,3,0,0,63,5.83333333333333,7
APNTEGPF7QZQI,271,ca57wITAnMneAjnzq5,60,0,1,3,99,4,.75,.785714286,.428571429,.428571429,0,0,0,9,98,-7,-6,-6,-19,63.5,1.5,-.5925,-.7575,.1425,.49125,2.99375,.13625,0,0,0,3,0,0,43,5.16666666666667,6.83333333333333
APXNY64HXO08K,148,Y85ks7tanMnKcSjzlp,31,0,1,1,99,5,1,.642857143,.714285714,.142857143,1,17,2,8,94,0,0,0,0,55.5,.5,-.0625,1.54375,1.0475,.31375,4.12875,.4025,0,1,0,3,0,0,77,7,6.16666666666667
APY7YO8CH0ZDP,499,bn5RODcQnMnyPTmzLg,61,0,1,1,100,5,.25,.357142857,0,.714285714,1,11,2,4,75,2,0,-2,0,93.5,41.5,-.7725,-.16625,.30375,.32625,3.7525,.19125,0,0,0,3,0,0,66,5,6.25
AQ5KOKZQSZU0B,539,E35fPtTNnMnl7PwzER,30,0,1,3,0,5,1,1,1,0,0,0,0,20,60,-1,-1,-1,-3,50,.5,-.53625,.7975,.73375,.315,4.435,.43875,0,0,0,3,0,0,55,3,6.5
AQJWO4YPR3LUQ,199,SX5mvP1VnMnSaLAzTN,38,0,1,2,20,4,.25,.571428571,.714285714,.285714286,1,10,1,12,74,-6,-9,-3,-18,53.5,1,-.7075,-.18,.4325,.1925,4.34125,.3825,0,0,0,2,0,0,68,4.83333333333333,7
AR117V5SHH230,404,ou5RESomnMnENQPz9E,27,1,1,3,75,5,.75,.714285714,.857142857,.142857143,1,16,2,11,55,1,-2,-2,-3,51,.5,-.1225,1.19625,.87875,.35375,3.1525,.5,0,0,0,3,0,0,133,4.5,6.41666666666667
ARHBT4K14I7U,727,sB5M89F6nMnitWNzm5,49,0,1,1,100,5,.75,.642857143,.428571429,.571428571,2,30,3,9,100,0,0,0,0,74.5,24.5,-.44375,.25375,.43,.345,4.1525,.15375,0,0,0,3,0,0,96,5.33333333333333,6.83333333333333
ASI2B6A3Y556Z,145,c65GKUKnnMnw2oVzdm,38,0,1,3,95,5,1,.857142857,1,0,0,0,0,9,76,-4,-3,3,-4,55,1,-.81,-.71,.165,.37875,3.7275,.115,0,0,0,3,0,0,98,2.66666666666667,7
ASIULWA5R4JYU,596,IP57kbTDnMntDyjzy3,33,1,1,3,10,3,.75,.714285714,.428571429,.571428571,0,0,0,8,87,-10,0,7,-3,76.5,.5,-.59125,.455,.62625,.1825,3.945,.48625,2,0,0,3,0,0,65,6,6.16666666666667
ASP32QB28TEZU,698,LP5xeuUXnMnxV5tztO,61,0,1,2,0,5,.5,.785714286,.285714286,.714285714,0,0,0,9,100,0,-26,0,-26,50.5,.5,-.8075,-.54375,.15625,.16125,3.35125,.14625,0,0,0,3,0,0,104,5.16666666666667,5.83333333333333
ASUYD8BPYM85M,699,t85yYlCqnMnA7vHzs7,30,1,1,1,0,5,1,.785714286,.714285714,.285714286,2,26,4,13,85,0,-10,-8,-18,50,0,-.4575,.43625,.60375,.4075,3.59125,.3525,0,0,0,3,0,0,129,5.66666666666667,6.75
ASZSPKARH2RXY,597,pM5typqPnMnWXPUzMM,29,1,1,3,25,4,.5,.785714286,.571428571,.285714286,3,30,3,8,65,0,0,0,0,57,1,-.4025,-.1075,.34375,.28125,3.46625,.14125,1,0,0,3,0,0,82,5,6.5
AT7QJKGCPSO6J,40,bU5vTAq1nMnxSDMzWR,35,1,1,3,50,5,1,.857142857,.857142857,.142857143,3,30,4,14,90,-2,-4,-1,-7,59,.5,-.57375,-.04,.3375,.3675,3.1,.21,0,0,0,3,0,0,61,4.5,5.33333333333333
AUFOO8PU2BK37,254,mF5ntM4bnMnWyqPzWn,36,0,1,3,0,5,.5,.428571429,.142857143,.714285714,0,0,0,8,49,0,0,0,0,61.5,1,-.18125,1.355,.90625,.2075,3.89375,.4,1,1,0,2,0,0,69,4.83333333333333,6.33333333333333
AUFUUD4WG9CVO,98,SS5Y7CqPnMni97MzGy,28,1,1,3,1,5,.5,.857142857,.714285714,.285714286,1,8,1,12,100,0,11,0,11,54.5,.5,-.4,.6275,.69125,.2575,4.01375,.4175,0,1,0,3,0,0,73,4,6.66666666666667
AUR5KDE75HSZ9,92,Oy5vknDdnMntfsfzx7,28,0,1,3,75,4,.75,.857142857,.428571429,.571428571,11,94,10,9,78,0,0,0,0,55,6,-.04375,1.70625,1.0775,.3425,3.98375,.4775,1,0,0,3,0,0,84,3.83333333333333,5.41666666666667
AUTYWXILTACCR,204,aW5EOlUKnMniFNWz71,22,1,1,1,90,4,1,.857142857,.428571429,.571428571,1,10,1,5,44,0,0,0,0,59,.5,-.66875,-.0775,.43625,.17,4.285,.335,0,0,1,3,0,0,87,7.16666666666667,5.83333333333333
AUZ3YWTVBISNH,588,AA5V0qA9nMnb66jzWY,30,1,1,1,100, ,.5,.571428571,.285714286,.714285714,3,34,4,7,75,0,0,0,0,67.5,20,-.09625,.92625,.8175,.39,3.41875,.29375,1,2,0,3,0,0,77,7.5,4.16666666666667
AV22FQTJNBUZT,269,Kp58DDUbnMnQ6EuzTa,38,0,1,3,0,3,0,.642857143,.428571429,.285714286,0,0,0,8,72,0,0,0,0,43,7,-.54,.57,.665,.30375,4.095,.47125,0,0,0,3,0,0,60,5.33333333333333,7
AVI7K876BV3QL,117,iN52kfWenMneproz22,61,0,1,1,25,5,.5,.571428571,.571428571,.428571429,0,0,0,9,73,-4,-4,-7,-15,63.5,2,-.5425,.25375,.55125,.3725,3.60125,.42,0,0,0,3,0,0,52,7,6.08333333333333
AVJUIF9QHQRY8,255,so5FXOcjnMnarrHzrP,34,0,1,2,100,1,0,.571428571,.714285714,.285714286,3,43,6,4,66,-9,0,-12,-21,65.5,8,-.22,1.25875,.89625,.27875,3.7925,.49125,1,0,0,3,0,0,86,5.83333333333333,5.66666666666667
AVOF14300525D,962,I95BPphKnMneE9qzli,58,0,1,4,80,4,.25,.857142857,.857142857,.142857143,2,41,4,8,75,-14,-24,-30,-68,55.5,1,-.495,.78375,.73375,.23,4.0875,.39625,1,0,0,3,0,0,53,5.66666666666667,7.83333333333333
AVZOC3OGBQRX2,383,Mf53yrtUnMnlVBHzIr,38,0,1,4,0,4,1,1,1,0,0,0,0,13,72,-1,0,0,-1,50,.5,-.37875,.41,.52625,.3075,3.545,.25625,0,0,0,3,0,0,83,7,4.83333333333333
AW0K78T4I2T72,163,po5FG8lKnMnlgN4ztp,72,0,1,3,0,5,1,1,.571428571,.428571429,2,16,2,8,77,-3,-4,-5,-12,71,20,-.76875,-.52875,.19625,.33,3.94625,.17125,0,0,0,3,0,0,73,5.5,6
AW1QY7Q83DYCJ,858,ru5qMxadnMnniTgz45,46,1,1,4,100,5,1,.785714286,.857142857,0,4,46,6,17,60,0,0,0,0,50,0,-.395,.405,.6375,.27375,4.05375,.34,0,0,0,3,0,0,89,6.33333333333333,6
AWNQ9E62XRB0O,463,vU5JOaM4nMn1I63zwr,20,0,0,1,10,4,1,.571428571,.428571429,.571428571,1,16,2,8,70,-12,-5,0,-17,63.5,.5,-.2575,1.2975,1.00625,.17,4.435,.43,0,1,0,3,0,0,71,5,5.58333333333333
AXJ1PE87PD0KK,705,4A50hhimnMnOBWxzsN,29,0,1,4,2,5,1,.642857143,1,0,1,7,1,12,81,-3,0,0,-3,56,0,-.34375,.78625,.7175,.33875,3.57375,.42875,0,1,0,3,0,0,99,5.5,5.5
AXO22N46CSNVT,274,gw5q5vpJnMnjhj0z6B,31,1,1,3,60,4,1,1,.857142857,.142857143,1,27,3,5,51,0,0,0,0,51,1,-.18,1.3825,.9325,.31125,4.03875,.42125,0,0,2,3,0,0,67,4.66666666666667,6.08333333333333
AXTFSJDN2YLO5,766,rP5QyUg9nMnBCE4zpU,46,0,1,1,0,5,.5,.571428571,.285714286,.714285714,4,47,5,13,74,0,0,0,0,49.5,1.5,-.15,1.24125,.8775,.40875,3.8,.41625,1,0,0,3,0,0,116,6.16666666666667,5.16666666666667
AYIFHDQSXQJ6B,670,Sf56EDqjnMn9fRlza3,35,0,1,2,50,5,.25,.642857143,.428571429,.571428571,4,48,5,11,76,0,0,0,0,50,0,-.72875,.10625,.47875,.20375,4.4175,.3725,1,0,1,3,0,0,77,6.33333333333333,6.25
AYY7JSAD0SGXL,165,665ujeVXnMnUVkrzoT,37,0,1,4,20,5,1,.571428571,.714285714,.285714286,2,23,2,12,87,-1,-4,0,-5,49,1,-.665,-.14375,.39375,.30125,3.87875,.3375,0,0,0,3,0,0,68,7.16666666666667,6.33333333333333
AZJKB1D4AFMQY,774,2H5XwLyenMnTBLYzEW,31,0,1,2,100,5,0,.428571429,.428571429,.571428571,1,29,2,4,67,0,0,0,0,59,5,-.26,.95125,.78625,.29625,4.125,.3375,0,0,0,3,0,0,59,4.5,6.75
AZLD2FVICRC73,652,7t5fDkfunMn0T3nz6N,45,0,1,5,100,4,.75,.928571429,.714285714,.285714286,2,34,5,8,98,0,0,0,0,37.5,12.5,-.335,1.9,1.1475,.0625,5.0475,.6275,1,3,0,3,0,0,125,6,6.33333333333333
AZMOA8ONG0D2U,311,oW510P9UnMnaEbVzN9,39,1,1,2,20,5,.75,.714285714,.285714286,.714285714,8,90,10,8,56,8,-7,-8,-7,47,8,-.205,1.2975,.9075,.31625,4.15125,.41375,0,0,0,3,0,0,72,5,6.33333333333333
AZZA3J049G7R5,294,V253LOdInMnC7qAzsV,28,0,1,1,0,5,.75,.642857143,.857142857,.142857143,2,21,2,8,63,-10,-9,0,-19,64.5,2,-.82,-.06625,.36125,.2,4.23875,.325,0,0,0,3,0,0,61,4.5,6.5
